兄,0.04593464
清,0.04579374
对,0.04579374
喝,0.04551193
求,0.04523012
兴,0.04508922
照,0.04508922
性,0.04494832
百,0.04480741
站,0.04480741
则,0.04466651
尚,0.04452561
学,0.0443847
法,0.0443847
写,0.0443847
待,0.0442438
礼,0.04410289
顽,0.04396199
刘,0.04382109
物,0.04339837
诗,0.04325747
反,0.04283476
旧,0.04283476
药,0.04283476
蓉,0.04283476
尽,0.04269386
瑞,0.04269386
服,0.04255295
迎,0.04255295
蟠,0.04255295
曾,0.04241205
弄,0.04227114
第,0.04213024
雨,0.04213024
歇,0.04198934
刚,0.04184843
让,0.04170753
毕,0.04156662
新,0.04156662
况,0.04142572
闲,0.04142572
巧,0.04142572
孝,0.04128482
令,0.04114391
公,0.04114391
昨,0.04114391
般,0.04114391
满,0.04086211
菱,0.04086211
秋,0.04086211
偏,0.04086211
惜,0.04086211
肯,0.04086211
嬷,0.04086211
雪,0.0405803
替,0.0405803
随,0.04043939
嘴,0.04029849
近,0.04015759
每,0.04015759
轻,0.04015759
乱,0.04001668
被,0.04001668
传,0.03987578
恐,0.03959397
欢,0.03945307
位,0.03917126
及,0.03874855
侍,0.03874855
仍,0.03874855
现,0.03860764
受,0.03846674
荣,0.03818493
领,0.03818493
姊,0.03804403
八,0.03776222
穿,0.03748041
怪,0.03748041
办,0.03748041
高,0.0370577
落,0.0369168
文,0.0367759
苦,0.0367759
妙,0.0367759
记,0.03663499
伤,0.03635318
陪,0.03635318
芳,0.03607138
爱,0.03564866
认,0.03550776
叹,0.03494415
咐,0.03494415
空,0.03480324
备,0.03480324
光,0.03480324
重,0.03480324
麝,0.03480324
村,0.03466234
山,0.03466234
齐,0.03466234
骂,0.03466234
厮,0.03466234
寻,0.03452143
跑,0.03438053
很,0.03423963
闻,0.03409872
烟,0.03395782
即,0.03381692
交,0.03381692
环,0.03381692
远,0.03367601
遂,0.03353511
包,0.03353511
疼,0.0332533
芸,0.0332533
混,0.0331124
古,0.03297149
鬟,0.03268968
赏,0.03254878
叔,0.03254878
略,0.03240788
静,0.03226697
养,0.03226697
路,0.03226697
忘,0.03212607
祖,0.03198517
合,0.03198517
直,0.03198517
石,0.03184426
灯,0.03184426
舅,0.03170336
千,0.03142155
甚,0.03142155
活,0.03142155
容,0.03113974
立,0.03099884
指,0.03099884
杯,0.03099884
彩,0.03099884
景,0.03085794
秦,0.03085794
马,0.03085794
戏,0.03085794
欲,0.03043522
怨,0.03043522
料,0.03043522
桂,0.03043522
非,0.03015342
全,0.03015342
热,0.03015342
赦,0.03001251
贵,0.02987161
闷,0.0297307
愿,0.0297307
强,0.0295898
嫂,0.0295898
谢,0.0294489
流,0.0294489
转,0.02916709
省,0.02902619
免,0.02888528
了,1.62388366
道,1.47848662
一,1.42123477
来,1.38849918
人,1.25103804
不,1.18344118
个,0.93204318
是,0.84205574
上,0.81541379
去,0.77885196
里,0.76581441
得,0.74299869
那,0.68730568
下,0.68234574
大,0.6581129
宋,0.65782947
在,0.64918501
我,0.63954856
军,0.63586404
只,0.61814997
见,0.6059627
便,0.60511242
江,0.59986906
将,0.59164973
马,0.58824863
的,0.58286356
这,0.57676992
你,0.55863072
有,0.54587659
说,0.51101531
两,0.49769434
到,0.4757289
他,0.46694272
小,0.4394505
时,0.43505741
出,0.43250658
子,0.42046102
山,0.41989417
都,0.41776848
日,0.41720163
头,0.41139142
三,0.3772387
中,0.37681357
前,0.37412103
把,0.35399785
李,0.353431
此,0.342094
看,0.33146556
自,0.32409651
却,0.31743602
如,0.30652416
面,0.3046819
与,0.30043052
兵,0.29958025
又,0.296746
酒,0.29632086
起,0.29476202
回,0.29462031
家,0.29008551
二,0.28555071
着,0.28342502
要,0.28243303
门,0.28243303
也,0.27903193
城,0.27832337
天,0.27690625
众,0.27662282
十,0.27208802
好,0.26868692
打,0.26202643
等,0.26103444
何,0.26018417
地,0.25862533
哥,0.25777506
知,0.25734992
正,0.25579108
听,0.25324026
之,0.25281512
做,0.24530436
公,0.24516264
州,0.24502093
当,0.24431237
武,0.24317867
行,0.23906901
先,0.23311708
领,0.23141653
叫,0.23056625
今,0.2265983
手,0.2265983
官,0.22489775
杀,0.22192179
路,0.2209298
相,0.21795384
过,0.21483617
教,0.21455274
王,0.21115164
五,0.21015965
事,0.20874253
身,0.20874253
四,0.20817568
分,0.20803397
和,0.2073254
张,0.2061917
走,0.2005232
入,0.20023978
